"","date_week","transactions","g_search_brand_spend","g_search_brand_impressions","g_search_brand_clicks","g_search_no_brand_spend","g_search_no_brand_impressions","g_search_no_brand_clicks","g_display_spend","g_display_impressions","g_display_clicks","g_performance_max_spend","g_performance_max_impressions","g_performance_max_clicks","fb_others_spend","fb_others_impressions","fb_others_clicks","fb_conversions_spend","fb_conversions_impressions","fb_conversions_clicks","fb_product_catalog_sales_spend","fb_product_catalog_sales_impressions","fb_product_catalog_sales_clicks","bing_spend","bing_impressions","bing_clicks","pinterest_spend","pinterest_impressions","pinterest_clicks","influencer_spend","influencer_impressions","influencer_clicks","podcast_spend","podcast_impressions","podcast_clicks","display_spend","display_impressions","display_clicks","g_search_console_impressions","g_search_console_clicks","s_organic","s_social","s_direct","s_email","s_referral","s_affiliate","s_influencer","s_podcast","s_pinterest","email_campaigns","discount"
"1",2021-01-04,54,63798.05,30466,10459,22060.54,28124,4802,704.15,32105,767,24.92,3316,23,0,0,0,76447.8,1170807,14417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5743,1326,7358,6,1784,0,0,0,0,0,0
"2",2021-01-11,131,24664.04,18546,4930,2533.08,6963,807,737.2,37316,305,3.95,538,7,0,0,0,14081.41,186339,3699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4695,1293,2985,6,1889,0,0,0,0,0,0
"3",2021-01-18,171,19129.97,14015,3386,1692.39,4860,446,336.73,16054,152,2.42,738,5,0,0,0,18532.99,214204,3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4032,561,3179,6,1787,0,0,0,0,0,0
"4",2021-01-25,357,43499.14,19484,5702,8668.73,13298,1651,0,0,0,39.93,2214,10,0,0,0,30188.18,299302,3520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5153,1995,1718,11,158,0,0,0,0,0,0
"5",2021-02-01,532,59959.91,24239,7686,13349.6,15450,2379,623.51,15992,42,0,0,0,0,0,0,53226.49,453955,5470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5410,200,2320,16,345,0,0,0,0,0,0
"6",2021-02-08,855,108431.29,34444,13354,31653.8,23183,4002,4463.3,128311,321,280.38,13462,82,0,0,0,120292.2,1086782,7495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6772,312,1664,17,524,0,0,0,0,0,0
"7",2021-02-15,812,89936.37,26318,10294,44415.52,23932,4629,1987.54,73858,173,552.53,35160,177,0,0,0,183471.38,2019747,9819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5992,420,1761,10,613,0,0,0,0,0,0
"8",2021-02-22,804,83873.38,21073,8431,36176.16,19631,3825,1456.14,48121,87,282.14,22200,117,0,0,0,266730.42,2532743,10108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4968,462,1343,21,491,0,0,0,0,0,0
"9",2021-03-01,199,54567.89,14311,4751,17522.23,11935,2020,0,0,0,530.85,52773,153,0,0,0,52254.01,508708,4020,5839.98,41117,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3434,1124,1979,3,180,0,0,0,0,0,0
"10",2021-03-08,143,27554.04,9416,2860,1245.44,3086,356,0,0,0,228.25,7169,68,0,0,0,25592.81,296966,1821,434.02,3284,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2945,200,779,7,116,0,0,0,0,0,0
"11",2021-03-15,218,25180.65,8766,2511,2591.54,4153,580,1435.86,51199,119,3368,66886,420,0,0,0,33364.68,352019,3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2881,220,1607,24,126,0,0,0,0,0,0
"12",2021-03-22,145,18006.42,6576,1743,2125.1,3715,468,2596.24,64850,153,2684.99,46897,396,0,0,0,46842.47,448856,2623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380,110,966,9,95,2,0,0,0,0,0
